Title,Share Link,Download URL,Transcription JSON
22 Ventures Vaginal Probiotics Analysis,https://go.screenpal.com/watch/cTlVrwnqHGw,https://screenpal.com/content/video/download/cTlVrwnqHGw,22_Ventures_Vaginal_Probiotics_Analysis_transcribed.json
Ad launch - #4 Product targeting campaign,https://go.screenpal.com/watch/c3f0elVY3nu,https://screenpal.com/content/video/download/c3f0elVY3nu,Ad_launch____4_Product_targeting_campaign_transcribed.json
Ad optimization tutorial #4 - Basic KW #3,https://go.screenpal.com/watch/crQebFVQv7Z,https://screenpal.com/content/video/download/crQebFVQv7Z,
AD optization tutorial #2 - Basic KW optimization,https://go.screenpal.com/watch/crQeDpVQvEh,https://screenpal.com/content/video/download/crQeDpVQvEh,
AD optmization tutorial #1 - How to setup the program file,https://go.screenpal.com/watch/crQeoNVQv4w,https://screenpal.com/content/video/download/crQeoNVQv4w,AD_optmization_tutorial__1___How_to_setup_the_program_file_transcribed.json
Ad program file improvement #1,https://go.screenpal.com/watch/crl23PV2zWV,https://screenpal.com/content/video/download/crl23PV2zWV,Ad_program_file_improvement__1_transcribed.json
Ad program improvement #2,https://go.screenpal.com/watch/crl20uV2An8,https://screenpal.com/content/video/download/crl20uV2An8,Ad_program_improvement__2_transcribed.json
Ad program improvement #3,https://go.screenpal.com/watch/crl20PV2A1q,https://screenpal.com/content/video/download/crl20PV2A1q,Ad_program_improvement__3_transcribed.json
Ad program improvement #4,https://go.screenpal.com/watch/crloc2V2AjQ,https://screenpal.com/content/video/download/crloc2V2AjQ,Ad_program_improvement__4_transcribed.json
Ad report #3 - Report 13 to 16,https://go.screenpal.com/watch/c3f03IVY0Vf,https://screenpal.com/content/video/download/c3f03IVY0Vf,Ad_report__3___Report_13_to_16_transcribed.json
"AI Tool combining SQP (time series), SP Imp Share, Top Search Terms report",https://go.screenpal.com/watch/cTiU2ynIuNW,https://screenpal.com/content/video/download/cTiU2ynIuNW,AI_Tool_combining_SQP__time_series___SP_Imp_Share__Top_Search_Terms_report_transcribed.json
All in one shake KW research,https://go.screenpal.com/watch/c311FlV3bGt,https://screenpal.com/content/video/download/c311FlV3bGt,
Amazon ad example,https://go.screenpal.com/watch/c3nQDTVD8de,https://screenpal.com/content/video/download/c3nQDTVD8de,
Amazon DSP,https://go.screenpal.com/watch/c0nufQVyGtE,https://screenpal.com/content/video/download/c0nufQVyGtE,
AMazon onboarding,https://go.screenpal.com/watch/c01YlEVB7B7,https://screenpal.com/content/video/download/c01YlEVB7B7,AMazon_onboarding_transcribed.json
Amazon reporting tool #1 Report 1 to 6,https://go.screenpal.com/watch/c3f0FDVY3mX,https://screenpal.com/content/video/download/c3f0FDVY3mX,Amazon_reporting_tool__1_Report_1_to_6_transcribed.json
